source,target,stock,year
AR,ZW,2,2017
AS,CN,599,2017
AS,FJ,332,2017
AS,NZ,725,2017
AS,PH,1117,2017
AS,KR,295,2017
AS,WS,15845,2017
AS,TK,20,2017
AS,TO,1290,2017
AS,US,2553,2017
AS,VN,211,2017
AT,AF,19179,2017
AT,AL,3465,2017
AT,DZ,1420,2017
AT,AD,2,2017
AT,AO,375,2017
AT,AG,7,2017
AT,AR,1677,2017
AT,AM,3359,2017
AT,AU,2741,2017
AT,AZ,1184,2017
AT,BS,24,2017
AT,BH,23,2017
AT,BD,3013,2017
AT,BB,23,2017
AT,BY,1835,2017
AT,BE,2835,2017
AT,BZ,45,2017
AT,BJ,88,2017
AT,BM,20,2017
AT,BT,26,2017
AT,BO,560,2017
AT,BA,170864,2017
AT,BW,27,2017
AT,BR,5710,2017
AT,BN,6,2017
AT,BG,17324,2017
AT,BF,133,2017
AT,BI,106,2017
AT,CV,45,2017
AT,KH,1054,2017
AT,CM,720,2017
AT,CA,2804,2017
AT,CF,31,2017
AT,TD,13,2017
AT,CL,1385,2017
AT,CN,19505,2017
AT,HK,309,2017
AT,MO,18,2017
AT,CO,1728,2017
AT,CG,503,2017
AT,CR,197,2017
AT,CI,234,2017
AT,HR,44053,2017
AT,CU,967,2017
AT,CY,357,2017
AT,CZ,60561,2017
AT,KP,3095,2017
AT,CD,770,2017
AT,DK,1561,2017
AT,DJ,7,2017
AT,DM,56,2017
AT,DO,3441,2017
AT,EC,728,2017
AT,EG,16397,2017
AT,SV,74,2017
AT,GQ,11,2017
AT,ER,114,2017
AT,EE,409,2017
AT,ET,1405,2017
AT,FJ,19,2017
AT,FI,1759,2017
AT,FR,9871,2017
AT,GA,26,2017
AT,GM,691,2017
AT,GE,3651,2017
AT,DE,246340,2017
AT,GH,2724,2017
AT,GR,4408,2017
AT,GD,16,2017
AT,GU,1,2017
AT,GT,409,2017
AT,GN,333,2017
AT,GW,74,2017
AT,GY,20,2017
AT,HT,69,2017
AT,HN,107,2017
AT,HU,48967,2017
AT,IS,207,2017
AT,IN,14949,2017
AT,ID,1336,2017
