source,target,stock
AT,JO,824
AT,KZ,1214
AT,KE,1081
AT,KW,278
AT,KG,713
AT,LA,136
AT,LV,887
AT,LB,2027
AT,LS,4
AT,LR,301
AT,LY,505
AT,LI,416
AT,LT,1000
AT,LU,840
AT,MG,82
AT,MW,41
AT,MY,531
AT,MV,9
AT,ML,109
AT,MT,118
AT,MR,36
AT,MU,125
AT,MX,1664
AT,FM,1
AT,MC,26
AT,MN,1986
AT,ME,24052
AT,MA,2120
AT,MZ,73
AT,MM,78
AT,NA,201
AT,NR,1
AT,NP,647
AT,NL,9333
AT,NZ,487
AT,NI,229
AT,NE,34
AT,NG,9343
AT,NO,1063
AT,OM,34
AT,PK,5301
AT,PW,1
AT,PA,68
AT,PG,66
AT,PY,252
AT,PE,1858
AT,PH,15258
AT,PL,72666
AT,PT,1897
AT,PR,6
AT,QA,27
AT,MD,1959
AT,RO,77376
AT,RU,34105
AT,RW,232
AT,KN,2
AT,LC,15
AT,VC,11
AT,WS,4
AT,SM,1
AT,ST,2
AT,SA,525
AT,SN,368
AT,RS,214925
AT,SC,48
AT,SL,294
AT,SG,314
AT,SK,29919
AT,SI,19719
AT,SB,15
AT,SO,1337
AT,ZA,3074
AT,ES,4539
AT,LK,1080
AT,PS,305
AT,SD,699
AT,SR,22
AT,SZ,25
AT,SE,3910
AT,CH,17400
AT,SY,10967
AT,TJ,312
AT,MK,24139
AT,TH,6171
AT,TG,241
AT,TO,7
AT,TT,77
AT,TN,4063
AT,TR,203550
AT,TM,154
AT,TV,13
AT,UG,301
AT,UA,9064
AT,AE,193
AT,GB,12127
AT,TZ,172
AT,US,12172
AT,UY,310
AT,UZ,830
AT,VU,7
AT,VE,1007
AT,VN,3682
AT,YE,104
AT,ZM,124
AT,ZW,328
AU,AF,39297
AU,AL,3495
AU,DZ,1636
AU,AS,398
AU,AO,608
AU,AG,11
AU,AR,16170
AU,AM,1437
AU,AW,44
AU,AT,21423
AU,AZ,564
AU,BS,331
AU,BH,1736
AU,BD,38888
AU,BB,464
AU,BY,2156
AU,BE,8229
AU,BZ,44
AU,BJ,110
AU,BM,652
AU,BT,4014
AU,BO,1106
AU,BA,43456
AU,BW,1360
AU,BR,21734
AU,BN,3549
AU,BG,4181
AU,BF,22
AU,BI,2256
AU,KH,37439
AU,CM,430
AU,CA,56651
AU,KY,99
AU,TD,33
AU,CL,32462
AU,CN,472931
AU,HK,100185
AU,MO,3085
AU,CO,16247
AU,CG,1470
AU,CK,8372
AU,CR,552
AU,CI,630
AU,HR,73275
AU,CU,940
AU,CW,133
AU,CY,23149
AU,CZ,15031
AU,KP,243
AU,CD,3860
AU,DK,12188
AU,DJ,177
AU,DM,11
AU,DO,187
AU,EC,2421
AU,EG,47548
AU,SV,12255
AU,ER,4037
AU,EE,3473
AU,ET,12000
AU,FO,22
AU,FK,99
AU,FJ,75575
AU,FI,10806
AU,FR,41001
AU,GF,11
AU,PF,575
AU,GA,11
AU,GM,133
AU,GE,641
AU,DE,141186
AU,GH,5562
AU,GI,552
AU,GR,132680
AU,GD,133
AU,GP,33
AU,GU,110
AU,GT,520
AU,GN,884
AU,GY,697
AU,HT,99
AU,HN,287
AU,HU,24255
AU,IS,807
AU,IN,408880
AU,ID,88095
AU,IR,51054
AU,IQ,65831
AU,IE,105925
AU,IM,364
AU,IL,12763
AU,IT,220235
AU,JM,1349
AU,JP,55733
AU,JO,6591
AU,KZ,1780
AU,KE,18714
AU,KI,685
AU,KW,6403
AU,KG,464
AU,LA,12697
AU,LV,5851
AU,LB,100970
AU,LS,133
AU,LR,3539
AU,LY,3240
AU,LI,11
AU,LT,3583
AU,LU,287
AU,MG,331
AU,MW,1327
AU,MY,164534
AU,MV,564
AU,ML,55
AU,MT,51608
AU,MH,44
AU,MQ,44
AU,MR,44
AU,MU,30172
AU,MX,5176
AU,MC,55
AU,MN,928
AU,ME,2123
AU,MA,2278
AU,MZ,1072
AU,MM,30316
AU,NA,1460
AU,NR,763
AU,NP,34464
AU,NL,95782
AU,NC,1968
AU,NZ,673378
AU,NI,918
AU,NE,11
AU,NG,6691
AU,NU,984
AU,MP,11
AU,NO,5452
AU,OM,1614
AU,PK,46077
AU,PA,320
AU,PY,520
AU,PE,11380
AU,PH,233108
AU,PL,62767
AU,PT,21014
AU,PR,177
AU,QA,994
AU,KR,103160
AU,MD,1283
AU,RE,287
AU,RO,18880
AU,RU,26013
AU,RW,884
AU,SH,33
AU,KN,11
AU,LC,33
AU,VC,11
AU,WS,27408
AU,SA,15838
AU,SN,453
AU,RS,39805
AU,SC,3296
AU,SL,4092
AU,SG,71106
AU,SK,6989
AU,SI,8992
AU,SB,2466
AU,SO,8118
AU,ZA,192251
AU,SS,4424
AU,ES,18935
AU,LK,117550
AU,PS,3306
AU,SD,25150
AU,SR,165
AU,SZ,442
AU,SE,13194
AU,CH,16512
AU,SY,11392
AU,TJ,143
AU,MK,56264
AU,TH,63652
AU,TL,11757
